date,country,reviews,ratings,comments
9th July 2023,United Kingdom,"""Things have really deteriorated""",4,"✅ Trip Verified |  My family and I have flown mostly on British Airways for the last 30 years. I am a priority passenger and fly often enough to recognise cabin crew and know some by name. They used to be a really good airline to fly with. Things have really deteriorated with their face to face customer care since the pandemic. The aircraft look worn. For example, on my flight back my audiovisual equipment did not work and had to be reset twice, finally working in the last hour before we landed. The second time around, I think the reset was done for the whole aircraft. The touch screen function on my screen did not work. The USB charger ports on my seat did not work. The staff were pleasant enough, but their service oozed mediocrity.  There did not seem to be much pride in what they were doing. The food has been the worst part on our BA flights since the pandemic. They gave us a menu, asked what we’d like, did a check and then told us that it was not available as they had run out and would we like to choose something else. They then told us that we’d get first choice at the second service which they couldn’t deliver on. Finally after choosing and getting whatever it is that we did, the food was tasteless. We take part in post flight surveys regularly and have stated all of this, to no avail. As a family of 3, we fly British Airways medium to long haul regularly, possibly 4-6 times a year each. For us, the good things about flying BA are that we are priority customers, usually have a direct flight to our destinations and get good service on the ground, when checking in and in the lounges when we use them."
9th July 2023,United States,"""I will never fly this airline again""",2,"✅ Trip Verified |  This has been by far the worst service I have had on a plane. It's very obvious that if you are flying economy and not a frequent traveler of British Airways, they care very little about you. We had to wait an hour for them to even open the check-in. Once they did, they had 5 lines and only one that serviced economy. Even though the line for economy was three times the length of the premium classes. Then they told economy passengers that all bags had to be check and no carryon due to a full flight and no room in the overhead compartments. Once we arrived at the gate, there were not enough seats to fit everyone and you couldn't leave the boarding area. I will never fly this airline again! "
8th July 2023,United Kingdom,"""asked for an explanation but have received none""",2,"✅ Trip Verified |  In Nov 2022 I booked and paid for a return journey to New Zealand. On my return journey my final flight was from London to Edinburgh. On trying to check in I was told my ticket ‘did not exist’. I showed evidence of my flight being booked and paid for but was denied a ticket. My only option was to buy a ticket for a later flight which cost £265.07. Since Nov 22, ie, 8 months ago, I have communicated multiple times with BA in an attempt to have my money returned. They have admitted responsibility for their error which cost me £265. I finally received word from them that they have decided to refund me the sum of £32.14. I have asked for an explanation but have received none, only a polite e mail informing me that the decision was checked and was correct. I do not intend to let this matter go. A company worth billions of pounds will not return an honest refund. PS, they also lost my luggage and did nothing to help me retrieve it. I tracked it down myself a week later to Edinburgh airport and picked it up myself."
6th July 2023,United Kingdom,"""short-changing passengers""",4,Not Verified | BA is not treating its premium economy passengers with respect. You pay for a premium economy service and are then compelled to use the economy toilets at the back of the plane. This is short-changing passengers. 
5th July 2023,South Africa,"""Economy is absolutely awful""",1,"✅ Trip Verified |  24 hours before our departure on BA059 to Cape Town from Heathrow on Thursday 29th June, we did an online check-in. Seats had already been allocated for my wife and I - 41 E and F - which are the middle two seats of the central block of four. These were totally unsuitable for us as we are in our late 70's and getting in and out of seats to stretch our legs or go the the toilet would mean climbing over a person on the aisle. But there were no other seats available. We got to Heathrow about 6 hours before departure and tried to change seats at check-in, to no avail, although the lady was very sympathetic and tried her utmost. She did offer us an upgrade to Premium Economy but at 450GBP each it was beyond our affordability. She said we should try again at the departure gate but that also failed. We spoke to a member of the flight crew who was totally unsympathetic. The economy seats are so tiny that I was jammed shoulder to shoulder between by wife and a stranger, with knees touching the seat pocket in front. For 12 hours we suffered. When we did manage to get out of our seat due to the kindness of the young lady next to me on the aisle, it was a mission trying to clamber past the reclined backrest in front of me. BA Economy is absolutely awful. The evening meal was near-inedible - both choices were spicy foods which are not very suitable when flying, especially for an older person. The breakfast Spanish Omelette was, however, not bad at all. The previous day we had flown economy from Malta to Heathrow on Malta Airlines and that 3 hour trip was a pleasure. The seats are wide and there is ample legroom. If they can do it, then why not British Airways."
5th July 2023,United Kingdom,"""Shocking customer service""",1,"✅ Trip Verified |  We arrived at Heathrow at 0600 to find our flight to Ibiza was cancelled by BA with no explanation. As if that wasn’t galling enough, the customer service from BA at the airport was non-existent! There was no explanation, no apology and no assistance in finding an alternative flight. We’ve managed to find another flight from Stansted but that isn’t until much later today, thus wasting a chunk of our short trip. I simply don’t understand why BA don’t proactively contact their customers to notify them of a cancellation, and work with them to resolve the problem. Shocking customer service!"
4th July 2023,Greece,"""no representative to help""",3,✅ Trip Verified |  Original flight was cancelled with no explanation. There was no representative to help in rebooking We had to call customer service (long distance call) The line kept dropping Had to do 40 + calls to find new booking only to discover the only way I could fly the next day was by paying business class. No help with hotel for the night stay.
3rd July 2023,Italy,"""Boarding was chaotic""",3,"Not Verified |  Airport check in was functionary with little warmth but some efficiency. Flight was delayed with no communication given. Boarding was chaotic and no management of the process by ground staff. Seats on board are tight and you really feel like they have crammed in every seat possible. There is next to no recline. However I was thankful that there was no recline. If the person in front had even the slightest recline they would be in my face owing to how tight the seats were spaced on this A321 aircraft. No amenities on this flight except for a toilet that was clean but small. No IFE, no food and beverage unless you pay extra but the staff were friendly. Luggage arrived at the carousel within a very short amount of time."
2nd July 2023,Senegal,"""In-line with competitors""",10,✅ Trip Verified |  Flight fine. In-line with competitors. Pleasant crew. Only niggle is bussed to and from aircraft at Heathrow. It seems like this is standard for the Berlin flights. Would use again.
30th June 2023,United States,"""Luggage are still in Glasgow""",1,✅ Trip Verified |  Came from Glasgow to London and took connecting flight American Airlines from London to North Carolina. It's my third day here in North Carolina and still waiting for my luggage. They didn't even bother to transfer the luggage to connecting flight. Luggage are still in Glasgow. 
